Department,How did you hear about HiPy?
Stephenson Institute,Email
Chemistry,Email
Biology,Poster/Flyer
Management School,Other
Other,Other
Biology,Email
Biology,Email
Biology,Email
Other,Word of mouth
Other,Word of mouth
Biology,Email
Biology,Email
Computer Science,Word of mouth
Biology,Email
Biology,Word of mouth
Mathematics,UoL video screen
"Earth, Ocean, Ecology",Email
Institute of Infection /  Global Health,Email
External,Email
Mathematics,Other
Physics,Email
"Earth, Ocean, Ecology",Poster/Flyer
Biology,Other
Biology,UoL video screen
Mathematics,Word of mouth
Mathematics,Other
Biology,Email
Biology,Email
Chemistry,Email
Management School,Other
Physics,
Management School,Word of mouth
Computer Science,Email
Biology,Email
Biology,Other
Biology,Email
Astrophysics,Email
Chemistry,Word of mouth
Physics,Email
Biology,Email
External,Word of mouth
Mathematics,Word of mouth
Stephenson Institute,
Architecture,Email
Biology,Email
Physics,
External,Email
Other,Email
EEE,Other
Other,Other
